feature,coefficient
trip_duration_days,15.191816278277155
miles_traveled,0.763159944454042
total_receipts_amount,1.468058011252266
m/d,-0.2657401478102466
r/d,0.13194417896159746
r^2,-0.0003884304444114915
m^2,-0.00016464249431980514
d*m,-0.025880251357293514
d^2*m^2,1.2208150974579723e-06
log(d*r),164.47510844967323
log(m*r),-0.4524029865347342
cents_bug_flag,-451.79232058559256
is_more_than_5_day_trip_flag,105.6273856039053
is_5_day_trip_flag,-38.44146046381301
is_8_day_trip_flag,-45.579344144007855
log(r),-286.7386191791679
intercept,437.96014778322365
